Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Estimates Start After
Ukraine,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22.193,35.025,38.012,38.275,46.083,51.867,43.315,32.661,32.331,37.863,42.339,50.096,64.752,85.996,107.767,143.26,181.313,117.079,136.011,163.161,175.707,179.572,130.571,90.489,93.313,112.125,130.857,150.401,161.872,2018
United Arab Emirates,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",40.415,45.002,41.848,38.345,38.012,37.31,29.568,32.466,32.999,38.09,49.09,49.821,52.208,53.438,57.45,63.637,70.991,76.171,73.394,82.865,103.893,103.312,109.816,124.346,147.824,180.617,222.117,257.916,315.475,253.547,289.787,350.666,374.591,390.108,403.137,358.135,357.045,377.701,414.179,405.771,414.02,2017
United Kingdom,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",604.678,587.772,558.717,532.564,504.481,536.81,654.761,812.013,988.304,"1,005.57","1,191.02","1,244.81","1,284.45","1,149.99","1,235.02","1,336.13","1,410.85","1,553.95","1,641.82","1,668.68","1,651.39","1,626.22","1,775.81","2,045.69","2,404.70","2,527.84","2,700.95","3,085.30","2,934.75","2,403.36","2,455.31","2,635.80","2,677.08","2,755.36","3,036.31","2,897.06","2,669.11","2,640.07","2,828.83","2,743.59","2,716.53",2018
United States,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,857.33","3,207.03","3,343.80","3,634.03","4,037.65","4,339.00","4,579.63","4,855.25","5,236.43","5,641.60","5,963.13","6,158.13","6,520.33","6,858.55","7,287.25","7,639.75","8,073.13","8,577.55","9,062.83","9,630.70","10,252.35","10,581.83","10,936.45","11,458.25","12,213.73","13,036.63","13,814.60","14,451.88","14,712.83","14,448.93","14,992.05","15,542.60","16,197.05","16,784.83","17,527.28","18,224.78","18,715.05","19,519.40","20,580.25","21,439.45","22,321.76",2018
Uruguay,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",11.199,12.499,10.218,5.609,5.334,5.212,6.47,8.095,8.375,8.827,10.27,12.376,14.223,16.568,19.299,21.312,22.657,23.974,25.394,23.995,22.832,20.907,13.632,12.067,13.708,17.398,19.62,23.461,30.366,31.661,40.285,47.962,51.266,57.531,57.236,53.275,52.687,59.546,59.651,59.918,62.917,2018
Uzbekistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.361,6.742,7.991,12.459,17.059,18.018,18.316,20.881,16.808,14.252,11.833,12.411,14.705,17.535,20.863,27.333,35.05,41,47.492,54.945,61.98,69.008,76.661,81.34,81.323,58.147,50.485,60.49,70.156,2018
Vanuatu,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.121,0.114,0.114,0.117,0.144,0.132,0.128,0.139,0.158,0.154,0.169,0.201,0.209,0.2,0.234,0.249,0.261,0.273,0.262,0.268,0.272,0.257,0.262,0.315,0.365,0.39,0.435,0.527,0.599,0.607,0.681,0.759,0.77,0.798,0.817,0.774,0.798,0.88,0.928,0.951,1.003,2017
Venezuela,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",69.841,78.367,79.998,79.672,57.826,59.865,60.877,46.854,60.378,44.672,48.391,53.382,60.4,59.865,58.357,77.427,70.536,85.667,91.905,97.239,117.676,123.156,95.57,83.67,112.189,143.326,177.722,221.953,289.877,237.448,294.507,334.272,331.628,234.401,212.347,323.595,279.249,143.841,98.437,70.14,62.921,2018
Vietnam,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",27.847,13.875,18.405,27.726,48.177,14.999,33.873,42.045,23.234,6.293,6.472,7.642,9.867,13.181,16.312,20.798,24.692,26.892,27.234,28.702,31.176,32.524,35.097,39.563,49.52,57.648,66.393,77.52,98.269,101.634,112.771,134.598,155.483,170.444,185.759,191.288,201.326,220.376,241.272,261.637,284.847,2018
Yemen,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.644,14.665,17.959,21.737,28.019,12.796,6.496,6.838,6.322,7.639,9.679,9.853,10.693,11.778,13.868,16.732,19.063,21.651,26.911,25.13,30.907,32.726,35.401,40.415,43.229,36.971,28.083,24.561,27.591,29.855,23.032,2017
Zambia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.246,4.385,4.232,3.653,3.003,2.848,1.962,2.431,4.095,4.365,4.085,3.69,3.614,3.549,3.657,3.799,3.599,4.303,3.538,3.405,3.601,4.094,4.194,4.902,6.221,8.332,12.757,14.057,17.911,15.328,20.265,23.46,25.503,28.046,27.151,21.243,20.941,25.868,26.72,23.946,23.342,2017
Zimbabwe,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10.144,9.45,7.793,7.569,7.959,8.263,10.117,10.386,12.099,11.769,11.34,11.244,10.735,9.574,9.465,9.046,8.141,7.785,6.707,9.666,12.042,14.102,17.115,19.091,19.496,19.963,20.054,21.89,20.997,12.818,12.868,2015

